match;reassign
administratio;administration
adminstrations;administrations
amortizaton;amortization
anamoly;anomaly
arreage;arrearage
asssets;assets
availabe;available
borse;boerse
cetral;central
checque;cheque
comission;commission
commondity;commodity
continuos;continuous
contruct;construct
decomissioning;decommissioning
deterioratio;deterioration
deviaton;deviation
equtiy;equity
expensefor;expense for
financiall;financial
fortax;for tax
goodwil;goodwill
hedgedd;hedged
identificaton;identification
installmment;installment
instru;instrument
insturments;instruments
liabiility;liability
liabiliteis;liabilities
liabilites;liabilities
lossesin;loss in
misappropriaton;misappropriation
obligationfor;obligation for
offoreign;of foreign
partecipated;participated
partecipation;participation
preferreds;preferred
prefferd;preferred
proportianate;proportionate
propriertorship;proprietorship
requistion;requisition 
semivarialble;semivariable
shareholdersinterest;shareholders interest
shareholdersinterests;shareholders interests
techiques;techniques
transportaton;transportation
treatement;treatment
uncertainy;uncertainty
uncollectability;uncollectibility
unleared;uncleared
unredeeemed;unredeemed
utlimate;ultimate
varialble;variable
diposal;disposal
